tss_id,chromosome,coordinate,strand,sigma_factor,resolution,data_source,pubmed_references
BSGatlas-TSS-829,basu168,1071304,-,A,22,Nicolas et al.,
BSGatlas-TSS-830,basu168,1071379,+,K,0,BsubCyc,21670523
BSGatlas-TSS-831,basu168,1071399,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-832,basu168,1071581,+,K,0,BsubCyc,21670523
BSGatlas-TSS-833,basu168,1071971,-,A,22,Nicolas et al.,
BSGatlas-TSS-834,basu168,1072380,+,H,22,Nicolas et al.,
BSGatlas-TSS-835,basu168,1072609,-,A,22,Nicolas et al.,
BSGatlas-TSS-836,basu168,1072732,+,A,22,Nicolas et al.,
BSGatlas-TSS-837,basu168,1073737,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-838,basu168,1073765,-,A,22,Nicolas et al.,
BSGatlas-TSS-839,basu168,1074348,-,A,22,Nicolas et al.,
BSGatlas-TSS-840,basu168,1074349,+,E,22,Nicolas et al.,
BSGatlas-TSS-841,basu168,1075246,-,A,0,DBTBS,"10735881,17962296"
BSGatlas-TSS-842,basu168,1076418,-,A,22,Nicolas et al.,
BSGatlas-TSS-843,basu168,1076999,-,A,22,Nicolas et al.,
BSGatlas-TSS-844,basu168,1077324,-,F,22,Nicolas et al.,
BSGatlas-TSS-845,basu168,1077410,+,A,22,Nicolas et al.,
BSGatlas-TSS-846,basu168,1078750,-,E,22,Nicolas et al.,
BSGatlas-TSS-847,basu168,1081385,-,A,22,Nicolas et al.,
BSGatlas-TSS-848,basu168,1082820,-,K,22,Nicolas et al.,
BSGatlas-TSS-849,basu168,1083763,-,A,22,Nicolas et al.,
BSGatlas-TSS-850,basu168,1083783,+,A,0,DBTBS,"8335642,17962296"
BSGatlas-TSS-851,basu168,1083822,+,F,22,Nicolas et al.,
BSGatlas-TSS-852,basu168,1083898,-,F,22,Nicolas et al.,
BSGatlas-TSS-853,basu168,1086062,+,A,22,Nicolas et al.,
BSGatlas-TSS-854,basu168,1089696,+,A,22,Nicolas et al.,
BSGatlas-TSS-855,basu168,1090092,+,B,22,Nicolas et al.,
BSGatlas-TSS-856,basu168,1093779,-,A,22,Nicolas et al.,
BSGatlas-TSS-857,basu168,1093832,+,H,22,Nicolas et al.,
BSGatlas-TSS-858,basu168,1094986,-,K,22,Nicolas et al.,
BSGatlas-TSS-859,basu168,1095024,+,A,22,Nicolas et al.,
BSGatlas-TSS-860,basu168,1097950,-,A,22,Nicolas et al.,
BSGatlas-TSS-861,basu168,1098298,-,A,22,Nicolas et al.,
BSGatlas-TSS-862,basu168,1098365,+,A,22,Nicolas et al.,
BSGatlas-TSS-863,basu168,1100926,+,A,0,DBTBS,"17189250,17962296"
BSGatlas-TSS-864,basu168,1102971,-,F,0,DBTBS,16497325
BSGatlas-TSS-865,basu168,1103051,+,A,22,Nicolas et al.,
BSGatlas-TSS-866,basu168,1103545,-,A,22,Nicolas et al.,
BSGatlas-TSS-867,basu168,1105626,-,A,0,DBTBS,"2447063,2447062,2496113,17962296"
BSGatlas-TSS-868,basu168,1105972,+,A,22,Nicolas et al.,
BSGatlas-TSS-869,basu168,1106497,+,A,22,Nicolas et al.,
BSGatlas-TSS-870,basu168,1107674,+,A,22,Nicolas et al.,
BSGatlas-TSS-871,basu168,1109353,-,A,22,Nicolas et al.,
BSGatlas-TSS-872,basu168,1111949,-,A,22,Nicolas et al.,
BSGatlas-TSS-873,basu168,1112524,-,A,22,Nicolas et al.,
BSGatlas-TSS-874,basu168,1113975,-,D,22,Nicolas et al.,
BSGatlas-TSS-875,basu168,1115610,-,E,0,DBTBS,16497325
BSGatlas-TSS-876,basu168,1115659,+,E,22,Nicolas et al.,
BSGatlas-TSS-877,basu168,1116836,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-878,basu168,1116855,-,A,22,Nicolas et al.,
BSGatlas-TSS-879,basu168,1117073,+,A,0,DBTBS,"8196543,17962296"
BSGatlas-TSS-880,basu168,1117835,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-881,basu168,1118677,-,B,22,Nicolas et al.,
BSGatlas-TSS-882,basu168,1118792,+,A,22,Nicolas et al.,
BSGatlas-TSS-883,basu168,1120947,-,A,22,Nicolas et al.,
BSGatlas-TSS-884,basu168,1121258,+,E,22,Nicolas et al.,
BSGatlas-TSS-885,basu168,1121446,-,A,22,Nicolas et al.,
BSGatlas-TSS-886,basu168,1121508,+,A,22,Nicolas et al.,
BSGatlas-TSS-887,basu168,1122762,+,A,22,Nicolas et al.,
BSGatlas-TSS-888,basu168,1124388,+,A,22,Nicolas et al.,
BSGatlas-TSS-889,basu168,1125844,+,E,22,Nicolas et al.,
BSGatlas-TSS-890,basu168,1128482,+,E,22,Nicolas et al.,
BSGatlas-TSS-891,basu168,1129272,+,A,22,Nicolas et al.,
BSGatlas-TSS-892,basu168,1129634,+,Unknown,0,DBTBS,14612444
BSGatlas-TSS-893,basu168,1129653,-,A,0,DBTBS,"14612444,17962296"
BSGatlas-TSS-894,basu168,1132143,-,A,22,Nicolas et al.,
BSGatlas-TSS-895,basu168,1133410,+,A,22,Nicolas et al.,
BSGatlas-TSS-896,basu168,1134840,+,A,22,Nicolas et al.,
BSGatlas-TSS-897,basu168,1136171,-,K,0,DBTBS,"15383836,17962296"
BSGatlas-TSS-898,basu168,1136292,+,A,0,DBTBS,"7746142,17962296"
BSGatlas-TSS-899,basu168,1147424,+,F,22,Nicolas et al.,
BSGatlas-TSS-900,basu168,1150464,+,A,22,Nicolas et al.,
BSGatlas-TSS-901,basu168,1150514,-,K,22,Nicolas et al.,
BSGatlas-TSS-902,basu168,1151067,-,A,22,Nicolas et al.,
BSGatlas-TSS-903,basu168,1152122,-,K,22,Nicolas et al.,
BSGatlas-TSS-904,basu168,1152198,+,H,22,Nicolas et al.,
BSGatlas-TSS-905,basu168,1153232,+,A,22,Nicolas et al.,
BSGatlas-TSS-906,basu168,1153742,+,A,22,Nicolas et al.,
BSGatlas-TSS-907,basu168,1157125,-,E,22,Nicolas et al.,
BSGatlas-TSS-908,basu168,1157182,+,E,0,DBTBS,"10498721,17962296"
BSGatlas-TSS-909,basu168,1159710,-,H,22,Nicolas et al.,
BSGatlas-TSS-910,basu168,1159899,+,A,22,Nicolas et al.,
BSGatlas-TSS-911,basu168,1160162,+,B,22,Nicolas et al.,
BSGatlas-TSS-912,basu168,1162208,+,A,22,Nicolas et al.,
BSGatlas-TSS-913,basu168,1164254,+,A,22,Nicolas et al.,
BSGatlas-TSS-914,basu168,1165987,-,H,22,Nicolas et al.,
BSGatlas-TSS-915,basu168,1166718,+,A,22,Nicolas et al.,
BSGatlas-TSS-916,basu168,1168908,+,E,22,Nicolas et al.,
BSGatlas-TSS-917,basu168,1168972,-,A,22,Nicolas et al.,
BSGatlas-TSS-918,basu168,1172512,-,K,0,DBTBS,"15383836,17962296"
BSGatlas-TSS-919,basu168,1172620,+,E,0,DBTBS,"15383836,17962296"
BSGatlas-TSS-920,basu168,1174816,-,E,22,Nicolas et al.,
BSGatlas-TSS-921,basu168,1177273,-,F,0,DBTBS,16497325
BSGatlas-TSS-922,basu168,1178702,-,A,22,Nicolas et al.,
BSGatlas-TSS-923,basu168,1180868,-,A,22,Nicolas et al.,
BSGatlas-TSS-924,basu168,1181437,+,A,22,Nicolas et al.,
BSGatlas-TSS-925,basu168,1181442,-,A,22,Nicolas et al.,
BSGatlas-TSS-926,basu168,1183116,-,A,22,Nicolas et al.,
BSGatlas-TSS-927,basu168,1184529,-,A,22,Nicolas et al.,
BSGatlas-TSS-928,basu168,1184645,+,A,22,Nicolas et al.,
BSGatlas-TSS-929,basu168,1188127,+,A,22,Nicolas et al.,
BSGatlas-TSS-930,basu168,1188615,-,A,22,Nicolas et al.,
BSGatlas-TSS-931,basu168,1188652,+,B,22,Nicolas et al.,
BSGatlas-TSS-932,basu168,1189063,+,Unknown,0,DBTBS,8226659
BSGatlas-TSS-933,basu168,1189203,+,H,22,Nicolas et al.,
BSGatlas-TSS-934,basu168,1190430,-,F,22,Nicolas et al.,
BSGatlas-TSS-935,basu168,1191360,-,A,22,Nicolas et al.,
BSGatlas-TSS-936,basu168,1191381,+,A,22,Nicolas et al.,
BSGatlas-TSS-937,basu168,1192219,+,A,22,Nicolas et al.,
BSGatlas-TSS-938,basu168,1194971,+,A,22,Nicolas et al.,
BSGatlas-TSS-939,basu168,1195002,+,A,0,DBTBS,"7511775,3106155,17962296"
BSGatlas-TSS-940,basu168,1200232,-,A,22,Nicolas et al.,
BSGatlas-TSS-941,basu168,1204490,+,F,22,Nicolas et al.,
BSGatlas-TSS-942,basu168,1204962,-,A,22,Nicolas et al.,
BSGatlas-TSS-943,basu168,1205040,+,A,22,Nicolas et al.,
BSGatlas-TSS-944,basu168,1205106,+,K,22,Nicolas et al.,
BSGatlas-TSS-945,basu168,1205898,+,E,22,Nicolas et al.,
BSGatlas-TSS-946,basu168,1206260,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-947,basu168,1206538,+,A,0,DBTBS,"9335269,17962296"
BSGatlas-TSS-948,basu168,1206544,+,A,0,DBTBS,"9335269,17962296"
BSGatlas-TSS-949,basu168,1206579,+,A,22,Nicolas et al.,
BSGatlas-TSS-950,basu168,1207279,+,A,22,Nicolas et al.,
BSGatlas-TSS-951,basu168,1208091,-,K,22,Nicolas et al.,
BSGatlas-TSS-952,basu168,1208154,+,A,0,DBTBS,"12737802,17962296"
BSGatlas-TSS-953,basu168,1208317,+,W,22,Nicolas et al.,
BSGatlas-TSS-954,basu168,1209405,-,E,22,Nicolas et al.,
BSGatlas-TSS-955,basu168,1210473,+,K,22,Nicolas et al.,
BSGatlas-TSS-956,basu168,1210517,+,H,22,Nicolas et al.,
BSGatlas-TSS-957,basu168,1211319,-,E,22,Nicolas et al.,
BSGatlas-TSS-958,basu168,1211372,+,A,22,Nicolas et al.,
BSGatlas-TSS-959,basu168,1213460,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-960,basu168,1217289,+,E,22,Nicolas et al.,
BSGatlas-TSS-961,basu168,1219410,-,A,22,Nicolas et al.,
BSGatlas-TSS-962,basu168,1219687,+,A,22,Nicolas et al.,
BSGatlas-TSS-963,basu168,1221654,-,A,22,Nicolas et al.,
BSGatlas-TSS-964,basu168,1225516,+,A,22,Nicolas et al.,
BSGatlas-TSS-965,basu168,1226830,+,Unknown,0,DBTBS,10913081
BSGatlas-TSS-966,basu168,1226862,+,W,0,DBTBS,"10913081,11866510,12207695,17962296"
BSGatlas-TSS-967,basu168,1226906,+,B,0,DBTBS,"10482513,10913081"
BSGatlas-TSS-968,basu168,1227572,-,A,22,Nicolas et al.,
BSGatlas-TSS-969,basu168,1227574,+,M,0,DBTBS,"17158663,12775685"
BSGatlas-TSS-970,basu168,1227619,+,A,0,DBTBS,17158663
BSGatlas-TSS-971,basu168,1227968,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-972,basu168,1228836,-,E,22,Nicolas et al.,
BSGatlas-TSS-973,basu168,1228926,+,A,22,Nicolas et al.,
BSGatlas-TSS-974,basu168,1229015,+,A,0,DBTBS,"8412687,17962296"
BSGatlas-TSS-975,basu168,1229850,+,H,22,Nicolas et al.,
BSGatlas-TSS-976,basu168,1230708,+,B,22,Nicolas et al.,
BSGatlas-TSS-977,basu168,1230949,+,H,22,Nicolas et al.,
BSGatlas-TSS-978,basu168,1231060,+,F,22,Nicolas et al.,
BSGatlas-TSS-979,basu168,1231192,+,A,22,Nicolas et al.,
BSGatlas-TSS-980,basu168,1233336,-,E,22,Nicolas et al.,
BSGatlas-TSS-981,basu168,1233399,+,A,22,Nicolas et al.,
BSGatlas-TSS-982,basu168,1233861,+,E,22,Nicolas et al.,
BSGatlas-TSS-983,basu168,1235088,-,A,22,Nicolas et al.,
BSGatlas-TSS-984,basu168,1236066,-,D,22,Nicolas et al.,
BSGatlas-TSS-985,basu168,1236530,-,A,22,Nicolas et al.,
BSGatlas-TSS-986,basu168,1236562,+,A,22,Nicolas et al.,
BSGatlas-TSS-987,basu168,1240278,+,A,22,Nicolas et al.,
BSGatlas-TSS-988,basu168,1240707,-,A,22,Nicolas et al.,
BSGatlas-TSS-989,basu168,1242229,+,A,22,Nicolas et al.,
BSGatlas-TSS-990,basu168,1247728,+,A,22,Nicolas et al.,
BSGatlas-TSS-991,basu168,1248648,+,E,0,DBTBS,"12662922,14523133,17962296"
BSGatlas-TSS-992,basu168,1248649,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-993,basu168,1250223,+,A,22,Nicolas et al.,
BSGatlas-TSS-994,basu168,1250531,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-995,basu168,1250543,-,K,0,DBTBS,"7519271,17962296"
BSGatlas-TSS-996,basu168,1250607,-,E,22,Nicolas et al.,
BSGatlas-TSS-997,basu168,1251195,-,K,0,DBTBS,7519271
BSGatlas-TSS-998,basu168,1252027,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-999,basu168,1252041,-,K,0,DBTBS,"7519271,17962296"
BSGatlas-TSS-1000,basu168,1252149,+,E,0,DBTBS,"14523132,17962296"
BSGatlas-TSS-1001,basu168,1252565,-,K,22,Nicolas et al.,
BSGatlas-TSS-1002,basu168,1252566,+,K,22,Nicolas et al.,
BSGatlas-TSS-1003,basu168,1252763,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1004,basu168,1252801,+,K,0,DBTBS,14523132
BSGatlas-TSS-1005,basu168,1252802,+,K,0,BsubCyc,14523132
BSGatlas-TSS-1006,basu168,1253081,+,K,0,DBTBS,14523132
BSGatlas-TSS-1007,basu168,1253093,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1008,basu168,1253359,+,K,0,DBTBS,14523132
BSGatlas-TSS-1009,basu168,1255943,+,H,22,Nicolas et al.,
BSGatlas-TSS-1010,basu168,1256040,-,A,22,Nicolas et al.,
BSGatlas-TSS-1011,basu168,1256080,+,B,22,Nicolas et al.,
BSGatlas-TSS-1012,basu168,1258196,-,A,22,Nicolas et al.,
BSGatlas-TSS-1013,basu168,1258282,+,A,0,DBTBS,"11832514,17962296"
BSGatlas-TSS-1014,basu168,1260805,+,L,22,Nicolas et al.,
BSGatlas-TSS-1015,basu168,1262646,-,A,22,Nicolas et al.,
BSGatlas-TSS-1016,basu168,1262721,+,A,22,Nicolas et al.,
BSGatlas-TSS-1017,basu168,1262817,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1018,basu168,1265007,+,A,22,Nicolas et al.,
BSGatlas-TSS-1019,basu168,1265021,-,A,22,Nicolas et al.,
BSGatlas-TSS-1020,basu168,1266349,+,A,22,Nicolas et al.,
BSGatlas-TSS-1021,basu168,1266591,+,D,22,Nicolas et al.,
BSGatlas-TSS-1022,basu168,1267415,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1023,basu168,1268269,+,A,22,Nicolas et al.,
BSGatlas-TSS-1024,basu168,1270125,-,H,22,Nicolas et al.,
BSGatlas-TSS-1025,basu168,1270555,+,A,22,Nicolas et al.,
BSGatlas-TSS-1026,basu168,1270583,-,A,22,Nicolas et al.,
BSGatlas-TSS-1027,basu168,1272683,+,A,22,Nicolas et al.,
BSGatlas-TSS-1028,basu168,1272695,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1029,basu168,1275740,+,A,22,Nicolas et al.,
BSGatlas-TSS-1030,basu168,1276874,-,A,22,Nicolas et al.,
BSGatlas-TSS-1031,basu168,1277493,-,E,22,Nicolas et al.,
BSGatlas-TSS-1032,basu168,1277633,+,A,22,Nicolas et al.,
BSGatlas-TSS-1033,basu168,1278429,-,W,22,Nicolas et al.,
BSGatlas-TSS-1034,basu168,1278944,-,A,22,Nicolas et al.,
BSGatlas-TSS-1035,basu168,1279022,+,A,22,Nicolas et al.,
BSGatlas-TSS-1036,basu168,1280507,-,A,22,Nicolas et al.,
BSGatlas-TSS-1037,basu168,1280892,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1038,basu168,1280903,-,K,0,DBTBS,"1917883,2546006,15383836"
BSGatlas-TSS-1039,basu168,1281012,-,A,22,Nicolas et al.,
BSGatlas-TSS-1040,basu168,1281023,+,A,22,Nicolas et al.,
BSGatlas-TSS-1041,basu168,1283084,-,E,22,Nicolas et al.,
BSGatlas-TSS-1042,basu168,1283357,-,D,22,Nicolas et al.,
BSGatlas-TSS-1043,basu168,1284817,-,A,22,Nicolas et al.,
BSGatlas-TSS-1044,basu168,1285479,-,B,22,Nicolas et al.,
BSGatlas-TSS-1045,basu168,1285542,+,B,22,Nicolas et al.,
BSGatlas-TSS-1046,basu168,1289259,+,A,22,Nicolas et al.,
BSGatlas-TSS-1047,basu168,1291001,-,A,22,Nicolas et al.,
BSGatlas-TSS-1048,basu168,1291171,+,A,22,Nicolas et al.,
BSGatlas-TSS-1049,basu168,1291419,-,K,22,Nicolas et al.,
BSGatlas-TSS-1050,basu168,1293993,-,A,22,Nicolas et al.,
BSGatlas-TSS-1051,basu168,1294084,+,A,22,Nicolas et al.,
BSGatlas-TSS-1052,basu168,1294103,-,K,22,Nicolas et al.,
BSGatlas-TSS-1053,basu168,1297641,-,A,22,Nicolas et al.,
BSGatlas-TSS-1054,basu168,1297701,+,B,22,Nicolas et al.,
BSGatlas-TSS-1055,basu168,1298355,+,A,0,BsubCyc,17015645
BSGatlas-TSS-1056,basu168,1300143,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1057,basu168,1300149,-,H,22,Nicolas et al.,
BSGatlas-TSS-1058,basu168,1300397,+,A,0,DBTBS,"9882655,17962296"
BSGatlas-TSS-1059,basu168,1302463,-,A,22,Nicolas et al.,
BSGatlas-TSS-3400,basu168,1303343,+,E,22,Nicolas et al.,
BSGatlas-TSS-1060,basu168,1303368,+,E,0,DBTBS,9882655
BSGatlas-TSS-1061,basu168,1308679,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1062,basu168,1308747,+,A,22,Nicolas et al.,
BSGatlas-TSS-1063,basu168,1309525,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1064,basu168,1313661,-,A,22,Nicolas et al.,
BSGatlas-TSS-1065,basu168,1313744,-,K,22,Nicolas et al.,
BSGatlas-TSS-1066,basu168,1314350,-,A,22,Nicolas et al.,
BSGatlas-TSS-1067,basu168,1314424,+,W,0,DBTBS,"9987136,12207695,17962296"
BSGatlas-TSS-1068,basu168,1315838,+,A,0,DBTBS,"1378051,11535782,17962296"
BSGatlas-TSS-1069,basu168,1315846,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1070,basu168,1317442,-,A,22,Nicolas et al.,
BSGatlas-TSS-1071,basu168,1317497,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1072,basu168,1318443,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1073,basu168,1318940,-,A,22,Nicolas et al.,
BSGatlas-TSS-1074,basu168,1318974,+,A,22,Nicolas et al.,
BSGatlas-TSS-1075,basu168,1319656,+,K,22,Nicolas et al.,
BSGatlas-TSS-1076,basu168,1321712,-,A,22,Nicolas et al.,
BSGatlas-TSS-1077,basu168,1321790,+,A,22,Nicolas et al.,
BSGatlas-TSS-1078,basu168,1325005,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1079,basu168,1328239,+,K,22,Nicolas et al.,
BSGatlas-TSS-1080,basu168,1335379,-,D,22,Nicolas et al.,
BSGatlas-TSS-1081,basu168,1336626,-,F,22,Nicolas et al.,
BSGatlas-TSS-1082,basu168,1346693,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1083,basu168,1349210,-,A,22,Nicolas et al.,
BSGatlas-TSS-1084,basu168,1349397,-,E,22,Nicolas et al.,
BSGatlas-TSS-1085,basu168,1351137,-,A,22,Nicolas et al.,
BSGatlas-TSS-1086,basu168,1351236,-,A,22,Nicolas et al.,
BSGatlas-TSS-1087,basu168,1351293,-,A,22,Nicolas et al.,
BSGatlas-TSS-1088,basu168,1352754,-,A,22,Nicolas et al.,
BSGatlas-TSS-1089,basu168,1353011,+,A,0,BsubCyc,"17725564,17962296"
BSGatlas-TSS-1090,basu168,1355234,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1091,basu168,1357852,-,W,22,Nicolas et al.,
BSGatlas-TSS-1092,basu168,1359345,-,A,0,DBTBS,"10692364,17962296"
BSGatlas-TSS-1093,basu168,1359345,+,A,22,Nicolas et al.,
BSGatlas-TSS-1094,basu168,1359420,+,A,22,Nicolas et al.,
BSGatlas-TSS-1095,basu168,1359439,-,A,22,Nicolas et al.,
BSGatlas-TSS-1096,basu168,1360365,+,A,0,DBTBS,"1766371,17962296"
BSGatlas-TSS-1097,basu168,1362890,+,E,22,Nicolas et al.,
BSGatlas-TSS-1098,basu168,1370963,-,A,22,Nicolas et al.,
BSGatlas-TSS-1099,basu168,1371917,-,B,22,Nicolas et al.,
BSGatlas-TSS-1100,basu168,1371977,+,A,22,Nicolas et al.,
BSGatlas-TSS-1101,basu168,1372636,+,F,22,Nicolas et al.,
BSGatlas-TSS-1102,basu168,1372753,+,A,0,DBTBS,"8682784,16885456,17962296"
BSGatlas-TSS-1103,basu168,1374398,+,F,22,Nicolas et al.,
BSGatlas-TSS-1104,basu168,1375234,+,H,22,Nicolas et al.,
BSGatlas-TSS-1105,basu168,1376313,+,A,22,Nicolas et al.,
BSGatlas-TSS-1106,basu168,1377203,+,A,22,Nicolas et al.,
BSGatlas-TSS-1107,basu168,1378226,+,A,0,BsubCyc,21233158
BSGatlas-TSS-1108,basu168,1378687,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1109,basu168,1380951,+,A,0,DBTBS,"9696771,17962296"
BSGatlas-TSS-1110,basu168,1381910,-,A,22,Nicolas et al.,
BSGatlas-TSS-1111,basu168,1381994,+,B,0,DBTBS,"9696771,17962296"
BSGatlas-TSS-1112,basu168,1383171,-,A,0,DBTBS,"11101664,17962296"
BSGatlas-TSS-1113,basu168,1385671,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1114,basu168,1385936,-,A,22,Nicolas et al.,
BSGatlas-TSS-1115,basu168,1387028,-,A,0,DBTBS,3087947
BSGatlas-TSS-1116,basu168,1387168,+,A,22,Nicolas et al.,
BSGatlas-TSS-1117,basu168,1391882,+,A,22,Nicolas et al.,
BSGatlas-TSS-1118,basu168,1391887,-,A,22,Nicolas et al.,
BSGatlas-TSS-1119,basu168,1394737,+,A,22,Nicolas et al.,
BSGatlas-TSS-1120,basu168,1395340,+,F,22,Nicolas et al.,
BSGatlas-TSS-1121,basu168,1395590,+,A,22,Nicolas et al.,
BSGatlas-TSS-1122,basu168,1395911,+,K,22,Nicolas et al.,
BSGatlas-TSS-1123,basu168,1397769,-,A,22,Nicolas et al.,
BSGatlas-TSS-1124,basu168,1397909,+,Unknown,0,DBTBS,10671441
BSGatlas-TSS-1125,basu168,1398153,+,Unknown,0,DBTBS,10671441
BSGatlas-TSS-1126,basu168,1398159,-,A,22,Nicolas et al.,
BSGatlas-TSS-1127,basu168,1398413,+,H,22,Nicolas et al.,
BSGatlas-TSS-1128,basu168,1399409,+,K,22,Nicolas et al.,
BSGatlas-TSS-1129,basu168,1400145,-,F,22,Nicolas et al.,
BSGatlas-TSS-1130,basu168,1401553,-,A,22,Nicolas et al.,
BSGatlas-TSS-1131,basu168,1401697,+,F,22,Nicolas et al.,
BSGatlas-TSS-1132,basu168,1407273,-,F,22,Nicolas et al.,
BSGatlas-TSS-1133,basu168,1409781,-,D,22,Nicolas et al.,
BSGatlas-TSS-1134,basu168,1409881,+,A,22,Nicolas et al.,
BSGatlas-TSS-1135,basu168,1410463,-,K,22,Nicolas et al.,
BSGatlas-TSS-1136,basu168,1410607,+,A,22,Nicolas et al.,
BSGatlas-TSS-1137,basu168,1411776,+,I,0,DBTBS,"11157964,17185538,17962296"
BSGatlas-TSS-1138,basu168,1411861,+,A,22,Nicolas et al.,
BSGatlas-TSS-1139,basu168,1414033,-,F,0,DBTBS,"2468649,17962296"
BSGatlas-TSS-1140,basu168,1414907,-,A,22,Nicolas et al.,
BSGatlas-TSS-1141,basu168,1414951,+,A,22,Nicolas et al.,
BSGatlas-TSS-1142,basu168,1416022,+,A,22,Nicolas et al.,
BSGatlas-TSS-1143,basu168,1417493,+,F,22,Nicolas et al.,
BSGatlas-TSS-1144,basu168,1417845,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-1145,basu168,1419021,-,A,22,Nicolas et al.,
BSGatlas-TSS-1146,basu168,1419165,+,H,22,Nicolas et al.,
BSGatlas-TSS-1147,basu168,1421326,+,A,0,DBTBS,2506524
BSGatlas-TSS-1148,basu168,1424721,-,A,0,DBTBS,"12022921,17962296"
BSGatlas-TSS-1149,basu168,1424791,+,A,22,Nicolas et al.,
BSGatlas-TSS-1150,basu168,1425274,+,A,22,Nicolas et al.,
BSGatlas-TSS-1151,basu168,1425576,-,A,0,DBTBS,"12022921,17962296"
BSGatlas-TSS-1152,basu168,1425607,+,A,0,DBTBS,"12022921,17962296"
BSGatlas-TSS-1153,basu168,1426857,+,A,0,DBTBS,"12022921,17962296"
BSGatlas-TSS-1154,basu168,1426876,+,A,0,DBTBS,"12022921,17962296"
BSGatlas-TSS-1155,basu168,1430538,+,B,22,Nicolas et al.,
BSGatlas-TSS-1156,basu168,1430570,-,A,22,Nicolas et al.,
BSGatlas-TSS-1157,basu168,1430636,+,A,0,DBTBS,"1901567,17962296"
BSGatlas-TSS-1158,basu168,1432233,+,F,22,Nicolas et al.,
BSGatlas-TSS-1159,basu168,1433035,-,A,22,Nicolas et al.,
BSGatlas-TSS-1160,basu168,1433157,+,A,22,Nicolas et al.,
BSGatlas-TSS-1161,basu168,1435279,-,D,0,DBTBS,"6273817,6313226,17962296"
BSGatlas-TSS-1162,basu168,1437808,-,A,0,DBTBS,"10320580,17962296"
BSGatlas-TSS-1163,basu168,1437927,-,A,0,DBTBS,"10320580,17962296"
BSGatlas-TSS-1164,basu168,1437978,-,A,22,Nicolas et al.,
BSGatlas-TSS-1165,basu168,1438046,+,E,0,DBTBS,"12662922,17962296"
BSGatlas-TSS-1166,basu168,1439229,+,A,22,Nicolas et al.,
BSGatlas-TSS-1167,basu168,1442751,-,A,22,Nicolas et al.,
BSGatlas-TSS-1168,basu168,1442793,+,A,22,Nicolas et al.,
BSGatlas-TSS-1169,basu168,1444047,+,K,22,Nicolas et al.,
BSGatlas-TSS-1170,basu168,1444208,+,B,22,Nicolas et al.,
BSGatlas-TSS-1171,basu168,1445301,+,A,22,Nicolas et al.,
BSGatlas-TSS-1172,basu168,1445399,-,A,22,Nicolas et al.,
BSGatlas-TSS-1173,basu168,1446841,+,L,22,Nicolas et al.,
BSGatlas-TSS-1174,basu168,1447126,-,A,22,Nicolas et al.,
BSGatlas-TSS-1175,basu168,1447215,+,A,22,Nicolas et al.,
BSGatlas-TSS-1176,basu168,1447891,-,A,22,Nicolas et al.,
BSGatlas-TSS-1177,basu168,1447974,+,A,22,Nicolas et al.,
BSGatlas-TSS-1178,basu168,1448244,-,E,22,Nicolas et al.,
BSGatlas-TSS-1179,basu168,1449201,+,E,22,Nicolas et al.,
BSGatlas-TSS-1180,basu168,1449225,+,E,0,DBTBS,"12662922,17962296"
BSGatlas-TSS-1181,basu168,1450613,+,G,0,DBTBS,15292147
BSGatlas-TSS-1182,basu168,1450999,+,B,22,Nicolas et al.,
BSGatlas-TSS-1183,basu168,1451264,+,A,0,DBTBS,"12180919,17962296"
BSGatlas-TSS-1184,basu168,1451537,-,K,22,Nicolas et al.,
BSGatlas-TSS-1185,basu168,1451713,-,B,22,Nicolas et al.,
BSGatlas-TSS-1186,basu168,1453561,-,A,22,Nicolas et al.,
BSGatlas-TSS-1187,basu168,1453646,+,A,22,Nicolas et al.,
